meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2016,25.86,31/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,837,Berlin,GER
FINA/airweave Swimming World Cup 2017,26.03,12/08/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,821,Eindhoven,NED
FINA/airweave Swimming World Cup 2016,26.04,27/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,820,Paris-Chartres,FRA
FINA/airweave Swimming World Cup 2016,26.08,30/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,816,Hong Kong,HKG
FINA/airweave Swimming World Cup 2016,26.14,05/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,811,Dubai,UAE
FINA/airweave Swimming World Cup 2016,26.17,22/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,808,Singapore,SGP
FINA/airweave Swimming World Cup 2016,26.18,26/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,807,Tokyo,JPN
FINA/MASTBANK Swimming World Cup 2014,26.27,30/09/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,799,Hong Kong,HKG
FINA/airweave Swimming World Cup 2017,26.28,12/08/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,798,Eindhoven,NED
FINA/MASTBANK Swimming World Cup 2014,26.28,30/09/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,10,798,Hong Kong,HKG
ISL 2019 Season,26.30,20/10/2019,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,796,Lewisville,USA
FINA/airweave Swimming World Cup 2017,26.32,01/10/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,12,794,Hong Kong,HKG
FINA/airweave Swimming World Cup 2016,26.32,01/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,13,794,Beijing,CHN
FINA/MASTBANK Swimming World Cup 2014,26.32,01/09/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,14,,Dubai,UAE
FINA/airweave Swimming World Cup 2016,26.36,09/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,15,15,791,Doha,QAT
FINA/airweave Swimming World Cup 2016,26.39,31/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,788,Berlin,GER
FINA/airweave Swimming World Cup 2016,26.42,30/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,17,17,785,Hong Kong,HKG
FINA/airweave Swimming World Cup 2017,26.45,06/08/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,18,18,783,Berlin,GER
FINA/MASTBANK Swimming World Cup 2014,26.47,25/10/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,19,19,781,Beijing,CHN
ISL 2019 Season,26.49,24/11/2019,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,20,20,779,London,GBR
FINA Swimming World Cup 2018,26.50,03/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,21,21,778,Beijing,CHN
FINA/airweave Swimming World Cup 2016,26.54,26/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,22,22,775,Tokyo,JPN
ISL 2019 Season,26.59,27/10/2019,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,23,23,770,Budapest,HUN
FINA/airweave Swimming World Cup 2017,26.59,05/10/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,23,24,770,Doha,QAT
FINA/airweave Swimming World Cup 2016,26.60,05/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,25,25,769,Dubai,UAE
FINA/MASTBANK Swimming World Cup 2014,26.63,01/09/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,26,26,,Dubai,UAE
FINA/airweave Swimming World Cup 2017,26.65,01/10/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,27,27,765,Hong Kong,HKG
FINA/airweave Swimming World Cup 2016,26.67,22/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,28,28,763,Singapore,SGP
FINA/airweave Swimming World Cup 2016,26.70,27/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,29,29,761,Paris-Chartres,FRA
FINA/airweave Swimming World Cup 2017,26.79,03/08/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,30,30,753,Moscow,RUS
ISL 2020 Season - Match 10,26.88,09/11/2020,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,31,31,746,Budapest,HUN
ISL 2020 Season - Semifinal 1,26.89,14/11/2020,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,32,32,745,Budapest,HUN
FINA/airweave Swimming World Cup 2016,26.96,01/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,33,33,739,Beijing,CHN
FINA/airweave Swimming World Cup 2016,27.01,09/10/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,34,34,735,Doha,QAT
FINA Swimming World Cup 2018,27.02,16/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,35,35,734,Singapore,SGP
FINA/MASTBANK Swimming World Cup 2014,27.11,25/10/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,36,36,727,Beijing,CHN
FINA Swimming World Cup 2018,27.17,11/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,37,37,722,Tokyo,JPN
FINA/airweave Swimming World Cup 2017,27.19,03/08/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,38,38,720,Moscow,RUS
FINA Swimming World Cup 2018,27.32,04/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,39,39,710,Beijing,CHN
FINA/airweave Swimming World Cup 2017,27.34,05/10/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,40,40,709,Doha,QAT
FINA Swimming World Cup 2018,27.74,11/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,41,41,678,Tokyo,JPN
FINA Swimming World Cup 2018,27.78,04/11/2018,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,42,42,675,Beijing,CHN
FINA Swimming World Cup 2013,28.06,05/11/2013,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,43,43,655,Singapore,SGP
FINA/airweave Swimming World Cup 2016,28.19,30/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,44,44,646,Berlin,GER
13th FINA World Swimming Championships (25m) 2016,28.27,08/12/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,45,45,641,Windsor,CAN
FINA Swimming World Cup 2013,28.30,20/10/2013,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,46,46,639,Doha,QAT
FINA/airweave Swimming World Cup 2016,28.32,26/08/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,47,47,638,Paris-Chartres,FRA
FINA Swimming World Cup 2013,28.32,20/10/2013,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,47,48,638,Doha,QAT
FINA Swimming World Cup 2013,28.34,05/11/2013,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,49,49,636,Singapore,SGP
FINA/airweave Swimming World Cup 2017,28.38,30/09/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,50,50,633,Hong Kong,HKG
FINA/airweave Swimming World Cup 2017,28.43,04/10/2017,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,51,51,630,Doha,QAT
FINA/airweave Swimming World Cup 2016,28.43,30/09/2016,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,51,52,630,Beijing,CHN
FINA/MASTBANK Swimming World Cup 2014,28.44,01/11/2014,Women 50 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,53,53,629,Singapore,SGP
