meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2016,01:02.36,26/08/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,1000,Paris-Chartres,FRA
12th FINA World Swimming Championships (25m) 2014,01:02.36,06/12/2014,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,2,1000,Doha,QAT
FINA/airweave Swimming World Cup 2016,01:02.40,21/10/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,998,Singapore,SGP
FINA/MASTBANK Swimming World Cup 2014,01:02.54,01/11/2014,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,991,Singapore,SGP
ISL 2020 Season - Semifinal 1,01:02.66,15/11/2020,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,985,Budapest,HUN
FINA/airweave Swimming World Cup 2017,01:02.67,11/08/2017,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,985,Eindhoven,NED
FINA/airweave Swimming World Cup 2016,01:02.68,29/10/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,984,Hong Kong,HKG
FINA Swimming World Cup 2018,01:02.74,16/11/2018,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,981,Singapore,SGP
FINA Swimming World Cup 2018,01:02.80,05/10/2018,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,979,Budapest,HUN
FINA/MASTBANK Swimming World Cup 2014,01:02.86,28/10/2014,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,976,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:02.91,25/10/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,974,Tokyo,JPN
FINA Swimming World Cup 2013,01:02.91,17/10/2013,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,12,990,Dubai,UAE
FINA Swimming World Cup 2013,01:02.99,09/11/2013,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,13,13,986,Tokyo,JPN
13th FINA World Swimming Championships (25m) 2016,01:03.03,10/12/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,14,14,968,Windsor,CAN
FINA Swimming World Cup 2018,01:03.09,10/11/2018,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,15,15,965,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:03.10,30/08/2016,Women 100 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,965,Berlin,GER
